"namespace","term","iri","label","label_ja","type","status","replaced_by","use_at_bio_database"
"dwciri","earliestGeochronologicalEra","http://rs.tdwg.org/dwc/iri/earliestGeochronologicalEra","Earliest Geochronological Era","最初地質年代代","Property","valid","","false"
"dwciri","establishmentMeans","http://rs.tdwg.org/dwc/iri/establishmentMeans","Establishment Means (IRI)","定着手段","Property","valid","","false"
"dwciri","eventCategory","http://rs.tdwg.org/dwc/iri/eventCategory","Event Category (IRI)","イベント分類","Property","valid","","false"
"dwciri","eventType","http://rs.tdwg.org/dwc/iri/eventType","Event Type (IRI)","イベント種別","Property","valid","","false"
"dwciri","fieldNotes","http://rs.tdwg.org/dwc/iri/fieldNotes","Field Notes (IRI)","野外注記","Property","valid","","false"
"dwciri","fieldNumber","http://rs.tdwg.org/dwc/iri/fieldNumber","Field Number (IRI)","野外番号","Property","valid","","false"
"dwciri","footprintSRS","http://rs.tdwg.org/dwc/iri/footprintSRS","Footprint SRS (IRI)","範囲の空間参照系","Property","valid","","false"
"dwciri","footprintWKT","http://rs.tdwg.org/dwc/iri/footprintWKT","Footprint WKT (IRI)","範囲WKT","Property","valid","","false"
"dwciri","fromLithostratigraphicUnit","http://rs.tdwg.org/dwc/iri/fromLithostratigraphicUnit","From Lithostratigraphic Unit","由来岩相層序単位","Property","valid","","false"
"dwciri","fundingAttribution","http://rs.tdwg.org/dwc/iri/fundingAttribution","Funding Attribution (IRI)","資金帰属","Property","valid","","false"
"dwciri","geodeticDatum","http://rs.tdwg.org/dwc/iri/geodeticDatum","Geodetic Datum (IRI)","測地基準系","Property","valid","","false"
"dwciri","georeferencedBy","http://rs.tdwg.org/dwc/iri/georeferencedBy","Georeferenced By (IRI)","地理参照者","Property","valid","","false"
"dwciri","georeferenceProtocol","http://rs.tdwg.org/dwc/iri/georeferenceProtocol","Georeference Protocol (IRI)","地理参照手順","Property","valid","","false"
"dwciri","georeferenceSources","http://rs.tdwg.org/dwc/iri/georeferenceSources","Georeference Sources (IRI)","地理参照情報源","Property","valid","","false"
"dwciri","georeferenceVerificationStatus","http://rs.tdwg.org/dwc/iri/georeferenceVerificationStatus","Georeference Verification Status (IRI)","地理参照検証状態","Property","valid","","false"
"dwciri","habitat","http://rs.tdwg.org/dwc/iri/habitat","Habitat (IRI)","生息環境","Property","valid","","false"
"dwciri","identificationQualifier","http://rs.tdwg.org/dwc/iri/identificationQualifier","Identification Qualifier (IRI)","同定修飾","Property","valid","","false"
"dwciri","identificationType","http://rs.tdwg.org/dwc/iri/identificationType","Identification Type (IRI)","同定種別","Property","valid","","false"
"dwciri","identificationVerificationStatus","http://rs.tdwg.org/dwc/iri/identificationVerificationStatus","Identification Verification Status (IRI)","同定検証状態","Property","valid","","false"
"dwciri","identifiedBy","http://rs.tdwg.org/dwc/iri/identifiedBy","Identified By (IRI)","同定者","Property","valid","","false"
"dwciri","inCollection","http://rs.tdwg.org/dwc/iri/inCollection","In Collection","内コレクション","Property","valid","","false"
"dwciri","inDataset","http://rs.tdwg.org/dwc/iri/inDataset","In Dataset","内データセット","Property","valid","","false"
"dwciri","inDescribedPlace","http://rs.tdwg.org/dwc/iri/inDescribedPlace","In Described Place","内記載場所","Property","valid","","false"
"dwciri","informationWithheld","http://rs.tdwg.org/dwc/iri/informationWithheld","Information Withheld (IRI)","非公開情報","Property","valid","","false"
"dwciri","latestGeochronologicalEra","http://rs.tdwg.org/dwc/iri/latestGeochronologicalEra","Latest Geochronological Era","最後地質年代代","Property","valid","","false"
"dwciri","lifeStage","http://rs.tdwg.org/dwc/iri/lifeStage","Life Stage (IRI)","生活階","Property","valid","","false"
"dwciri","locationAccordingTo","http://rs.tdwg.org/dwc/iri/locationAccordingTo","Location According To (IRI)","地点情報の準拠先","Property","valid","","false"
"dwciri","materialEntityCategory","http://rs.tdwg.org/dwc/iri/materialEntityCategory","Material Entity Category (IRI)","試料実体分類","Property","valid","","false"
"dwciri","materialEntityType","http://rs.tdwg.org/dwc/iri/materialEntityType","Material Entity Type (IRI)","試料実体種別","Property","valid","","false"
"dwciri","measurementDeterminedBy","http://rs.tdwg.org/dwc/iri/measurementDeterminedBy","Measurement Determined By (IRI)","測定判定者","Property","valid","","false"
"dwciri","measurementMethod","http://rs.tdwg.org/dwc/iri/measurementMethod","Measurement Method (IRI)","測定方法","Property","valid","","false"
"dwciri","measurementType","http://rs.tdwg.org/dwc/iri/measurementType","Measurement Type (IRI)","測定種別","Property","valid","","false"
"dwciri","measurementUnit","http://rs.tdwg.org/dwc/iri/measurementUnit","Measurement Unit (IRI)","測定単位","Property","valid","","false"
"dwciri","measurementValue","http://rs.tdwg.org/dwc/iri/measurementValue","Measurement Value (IRI)","測定値","Property","valid","","false"
"dwciri","objectQuantityType","http://rs.tdwg.org/dwc/iri/objectQuantityType","Object Quantity Type (IRI)","対象数量種別","Property","valid","","false"
"dwciri","occurrenceStatus","http://rs.tdwg.org/dwc/iri/occurrenceStatus","Occurrence Status (IRI)","オカレンス状態","Property","valid","","false"
"dwciri","organismInteractionType","http://rs.tdwg.org/dwc/iri/organismInteractionType","Organism Interaction Type (IRI)","生物個体相互作用種別","Property","valid","","false"
"dwciri","organismQuantityType","http://rs.tdwg.org/dwc/iri/organismQuantityType","Organism Quantity Type (IRI)","生物個体数量種別","Property","valid","","false"
"dwciri","organismScope","http://rs.tdwg.org/dwc/iri/organismScope","Organism Scope (IRI)","生物個体の範囲","Property","valid","","false"
"dwciri","pathway","http://rs.tdwg.org/dwc/iri/pathway","Pathway (IRI)","経路","Property","valid","","false"
"dwciri","preferredSpatialRepresentation","http://rs.tdwg.org/dwc/iri/preferredSpatialRepresentation","Preferred Spatial Representation (IRI)","優先空間表現","Property","valid","","false"
"dwciri","preparations","http://rs.tdwg.org/dwc/iri/preparations","Preparations (IRI)","標本処理","Property","valid","","false"
"dwciri","protocolType","http://rs.tdwg.org/dwc/iri/protocolType","Protocol Type (IRI)","手順種別","Property","valid","","false"
"dwciri","recordedBy","http://rs.tdwg.org/dwc/iri/recordedBy","Recorded By (IRI)","記録者","Property","valid","","false"
"dwciri","recordNumber","http://rs.tdwg.org/dwc/iri/recordNumber","Record Number (IRI)","記録番号","Property","valid","","false"
